Nota_debito,Cliente,Prob_Mora,Zona_Riesgo
2915636,2200049,0.3941,MEDIO
2910208,2196527,0.2036,BAJO
2910209,2196527,0.2036,BAJO
2910210,2196527,0.2036,BAJO
2910098,2185761,0.2582,BAJO
2910099,2185761,0.2582,BAJO
2910100,2185761,0.2582,BAJO
2910101,2185761,0.2582,BAJO
2910158,2170230,0.2526,BAJO
2910396,22500736,0.2517,BAJO
2910397,22500736,0.2517,BAJO
2910398,22500736,0.2517,BAJO
2910399,22500736,0.2517,BAJO
2910594,22500925,0.2597,BAJO
2910595,22500925,0.2597,BAJO
2910596,22500925,0.2597,BAJO
2910597,22500925,0.2597,BAJO
2910460,22502393,0.3523,MEDIO
2910461,22502393,0.3523,MEDIO
2910462,22502393,0.3523,MEDIO
2910463,22502393,0.3523,MEDIO
2910454,2196274,0.1717,BAJO
2910455,2196274,0.1717,BAJO
2910456,2196274,0.1717,BAJO
2910457,2196274,0.1717,BAJO
2911309,2249720,0.3003,MEDIO
2911202,2190476,0.2069,BAJO
2910598,2201359,0.4059,MEDIO
2910599,2201359,0.4059,MEDIO
2910600,2201359,0.4059,MEDIO
2910601,2201359,0.4059,MEDIO
2910602,2201359,0.4059,MEDIO
2910603,2201359,0.4059,MEDIO
2910604,2201359,0.4059,MEDIO
2910605,2201359,0.4059,MEDIO
2910606,2201359,0.4059,MEDIO
2910607,2201359,0.4059,MEDIO
2910521,2201359,0.3723,MEDIO
2910522,2201359,0.3723,MEDIO
2910523,2201359,0.3723,MEDIO
2910524,2201359,0.3723,MEDIO
2910525,2201359,0.3723,MEDIO
2910526,2201359,0.3723,MEDIO
2910527,2201359,0.3723,MEDIO
2910528,2201359,0.3723,MEDIO
2910529,2201359,0.3723,MEDIO
2910530,2201359,0.3723,MEDIO
2912850,2195424,0.7744,ALTO
2912851,2195424,0.7744,ALTO
2912852,2195424,0.7744,ALTO
2912853,2195424,0.7744,ALTO
2912854,2195424,0.7744,ALTO
2912855,2195424,0.7744,ALTO
2912856,2195424,0.7744,ALTO
2912857,2195424,0.7744,ALTO
2912858,2195424,0.7744,ALTO
2912910,2195424,0.932,ALTO
2912911,2195424,0.932,ALTO
2912912,2195424,0.932,ALTO
